candidate,state,e_day_mu,e_day_sigma,run_date
Biden,Alabama,-0.6700189382010789,0.2121182871579151,2024-09-10
Harris,Alabama,-0.7880061262220309,0.22281816986041905,2024-09-10
Biden,Alaska,-0.35809131682744494,0.19766957530045848,2024-09-10
Harris,Alaska,-0.46576802200673856,0.2007378503245304,2024-09-10
Biden,Arizona,-0.12498528448793544,0.1904957881632587,2024-09-10
Harris,Arizona,-0.22976909089486125,0.19231226401489893,2024-09-10
Biden,Arkansas,-0.7175411559344547,0.21573973325019996,2024-09-10
Harris,Arkansas,-0.838953518230209,0.22773920604435735,2024-09-10
Biden,California,0.5182161213219542,0.2087715966198299,2024-09-10
Harris,California,0.40867364151237623,0.197962237636012,2024-09-10
Biden,Colorado,0.1298301201454476,0.19171939515124872,2024-09-10
Harris,Colorado,0.02647422681470673,0.1899815563301219,2024-09-10
Biden,Connecticut,0.2759420843898166,0.19433413326698187,2024-09-10
Harris,Connecticut,0.16978546373298978,0.19004706053242668,2024-09-10
Biden,Delaware,0.2463808560514206,0.1946893106739111,2024-09-10
Harris,Delaware,0.14261939665170578,0.19098526811783223,2024-09-10
Biden,District of Columbia,2.62618480640104,0.826006912459844,2024-09-10
Harris,District of Columbia,2.275526343213553,0.6526237723925457,2024-09-10
Biden,Florida,-0.16655769433585307,0.192712741173473,2024-09-10
Harris,Florida,-0.27317222686541426,0.1950723859185061,2024-09-10
Biden,Georgia,-0.12763236524072505,0.19052984703057657,2024-09-10
Harris,Georgia,-0.2336345001376287,0.1929116757309953,2024-09-10
Biden,Hawaii,0.5405078385430839,0.20965834511186215,2024-09-10
Harris,Hawaii,0.4265394552274472,0.2020302600143853,2024-09-10
Biden,Idaho,-0.8194255661795787,0.22700341374943192,2024-09-10
Harris,Idaho,-0.9465501793178366,0.24129214423410805,2024-09-10
Biden,Illinois,0.24705660191776613,0.19315235630118088,2024-09-10
Harris,Illinois,0.14241341387372256,0.187459077426958,2024-09-10
Biden,Indiana,-0.46835434636344336,0.1993730267391174,2024-09-10
Harris,Indiana,-0.5797822962823713,0.20731841817646005,2024-09-10
Biden,Iowa,-0.2889460831701778,0.1927063834844671,2024-09-10
Harris,Iowa,-0.3993462024843904,0.19561552017202397,2024-09-10
Biden,Kansas,-0.45824844996036224,0.20357258532556863,2024-09-10
Harris,Kansas,-0.5725237739586713,0.20818850391554644,2024-09-10
Biden,Kentucky,-0.6969027996127237,0.214591321995092,2024-09-10
Harris,Kentucky,-0.8161386265128043,0.2222136359235344,2024-09-10
Biden,Louisiana,-0.5096121047930545,0.20250048680815264,2024-09-10
Harris,Louisiana,-0.6222445740483278,0.20964861950190183,2024-09-10
Biden,Maine,0.04706036120707954,0.19076086647490215,2024-09-10
Harris,Maine,-0.05760306799691187,0.18886602260461455,2024-09-10
Biden,Maine 1,0.3365541970616611,0.19599371568722468,2024-09-10
Harris,Maine 1,0.22918778017277183,0.1913999444758534,2024-09-10
Biden,Maine 2,-0.2817874509648005,0.193558518717481,2024-09-10
Harris,Maine 2,-0.3896344014080607,0.19690863081784887,2024-09-10
Biden,Maryland,0.5683971956994812,0.20484261069572277,2024-09-10
Harris,Maryland,0.4563649226431386,0.20004913226494847,2024-09-10
Biden,Massachusetts,0.5740301674806751,0.20816378299944552,2024-09-10
Harris,Massachusetts,0.4639066733835317,0.20086293440829017,2024-09-10
Biden,Michigan,-0.0661630215592553,0.18998111775880064,2024-09-10
Harris,Michigan,-0.17186757065363906,0.18904751535989597,2024-09-10
Biden,Minnesota,0.01320299049550527,0.1899492054205386,2024-09-10
Harris,Minnesota,-0.09069461627266397,0.19113474795147228,2024-09-10
Biden,Mississippi,-0.46404384341113614,0.2005914687829057,2024-09-10
Harris,Mississippi,-0.5771769115451586,0.20637287648619063,2024-09-10
Biden,Missouri,-0.4570593627882725,0.1999099070129941,2024-09-10
Harris,Missouri,-0.5662899676068106,0.20833700956284457,2024-09-10
Biden,Montana,-0.48486690598544574,0.2044509938077765,2024-09-10
Harris,Montana,-0.5960709019217976,0.2097625506200862,2024-09-10
Biden,Nebraska,-0.5530831021916651,0.20682849259096808,2024-09-10
Harris,Nebraska,-0.6674796427796938,0.2117617563024467,2024-09-10
Biden,Nebraska 1,-0.4635638216689173,0.20141477652128623,2024-09-10
Harris,Nebraska 1,-0.5785334639081454,0.2070813381180111,2024-09-10
Biden,Nebraska 2,-0.01804568362580065,0.18820249367199696,2024-09-10
Harris,Nebraska 2,-0.12516788272680338,0.18947981100548383,2024-09-10
Biden,Nebraska 3,-1.442119360222882,0.3259757726584068,2024-09-10
Harris,Nebraska 3,-1.621662045533958,0.3727938712682649,2024-09-10
Biden,Nevada,-0.05564611552086355,0.19098331836184393,2024-09-10
Harris,Nevada,-0.15805171480742797,0.18975533857543364,2024-09-10
Biden,New Hampshire,0.01185766148445652,0.18996682690849903,2024-09-10
Harris,New Hampshire,-0.09447577790691782,0.18847662826998535,2024-09-10
Biden,New Jersey,0.21114556718015176,0.19285577694738207,2024-09-10
Harris,New Jersey,0.10756532958672374,0.18985413272474816,2024-09-10
Biden,New Mexico,0.11220634705914714,0.1884008171217348,2024-09-10
Harris,New Mexico,0.00447774118739215,0.1893254662577399,2024-09-10
Biden,New York,0.372862576145878,0.19818766928287623,2024-09-10
Harris,New York,0.26286775262227974,0.19344973012903316,2024-09-10
Biden,North Carolina,-0.14301434963340898,0.19442113105810688,2024-09-10
Harris,North Carolina,-0.2526275764791658,0.1922842408997901,2024-09-10
Biden,North Dakota,-0.8852549050702628,0.235897869684894,2024-09-10
Harris,North Dakota,-1.0197681708140764,0.2458262040357413,2024-09-10
Biden,Ohio,-0.27768657477424014,0.19343930574233636,2024-09-10
Harris,Ohio,-0.3869686975101591,0.1987153681045299,2024-09-10
Biden,Oklahoma,-0.872171609647819,0.23155312032317724,2024-09-10
Harris,Oklahoma,-1.0023958818589496,0.2450198143211465,2024-09-10
Biden,Oregon,0.20423296001427071,0.19067377681382328,2024-09-10
Harris,Oregon,0.09992683510901508,0.18941536905575576,2024-09-10
Biden,Pennsylvania,-0.08975867059324848,0.1928671765002956,2024-09-10
Harris,Pennsylvania,-0.19805511419152672,0.192065624635212,2024-09-10
Biden,Rhode Island,0.30440437022631955,0.19295133145734827,2024-09-10
Harris,Rhode Island,0.1973913525042302,0.19124656506228135,2024-09-10
Biden,South Carolina,-0.3659667807824793,0.19888250730016865,2024-09-10
Harris,South Carolina,-0.4767177389923682,0.1995310612909392,2024-09-10
Biden,South Dakota,-0.7064093435900134,0.21714826409315063,2024-09-10
Harris,South Dakota,-0.8288851258592228,0.22723192681803653,2024-09-10
Biden,Tennessee,-0.6245144427657446,0.21238814317367696,2024-09-10
Harris,Tennessee,-0.7410814003703822,0.2208768948214382,2024-09-10
Biden,Texas,-0.2426686544438612,0.19369971289707025,2024-09-10
Harris,Texas,-0.3501898019807179,0.1939867629770137,2024-09-10
Biden,Utah,-0.5743778985284372,0.20519749639517915,2024-09-10
Harris,Utah,-0.6945720198287967,0.2151110227886116,2024-09-10
Biden,Vermont,0.6252668110447059,0.2092125251932702,2024-09-10
Harris,Vermont,0.5103327493596733,0.20216331567532253,2024-09-10
Biden,Virginia,0.07749693942822984,0.18792485221624375,2024-09-10
Harris,Virginia,-0.02867274407703187,0.19082740683151544,2024-09-10
Biden,Washington,0.28790597783764715,0.1947893783283041,2024-09-10
Harris,Washington,0.17812857036062243,0.1892220079239854,2024-09-10
Biden,West Virginia,-1.0159992628309062,0.24824026512223785,2024-09-10
Harris,West Virginia,-1.159677039157291,0.265750307494916,2024-09-10
Biden,Wisconsin,-0.1016076356437586,0.18958020317040936,2024-09-10
